problem,method
efficient secure deletion techniques of preventing data leakage,cost and benefit models
Using Predicted Variance to Improve Scheduling Decisions in Dynamic Environments,techniques based on time series predictors and stochastic scheduling algorithms
On the myopic policy for a class of restless bandit,the myopic channel selection policy
Guard sequence optimization for block transmission over linear frequency-selective channels,proving
Previous interface-based methods are too restrictive,an algorithm for automatically synthesizing software interfaces
the dexterous manipulation planning problem,probabilistic roadmaps in continuous grasp subspaces
comparision of six extraction algorithms applied to 2D laser scans,experimental evaluation
increase the level of safety of tele-operation with a reduction in operator workload,force-stiffness feedback
the issue of compatibility across browsers,An Automated Approach for Cross-Browser Inconsistency (XBI) Detection
reasoning and motion planning,Combining high-level causal reasoning with low-level geometric reasoning and motion planning for robotic manipulation
detect and track pedestrians for people counting in real-time,background subtraction method and shadow elimination method
previously proposed algorithms have either dealt with only zeroth-order transforms or cannot be applied conveniently,An algorithm for computing general integer-order Hankel transforms
Real-time target tracking of soft tissues,real-time approach that allows tracking deformable structures
discussing the properties of polarity graphs,proving
assuring QoS in Ethernet access network,proving
to meet federal Medicare's financial requirements,developing nonlinear programming pricing and cost allocation models
Improved Streaming Algorithms for Weighted Matching,Unweighted Matching
Control of linear parameter-varying systems,B-splines
Animating natural scenes in real time,a technique that exploits graphics hardware
building a database for exome-seq data,polishing previously published database
deep and wide pipelines working concurrently make GPGPU high power consuming parts,Energy-Efficient GPGPU Architectures via Collaborative Compilation and Memristive Memory-Based Computing
existing design techniques based on difference families have limited code size options,Quasi-cyclic codes from extended difference families
document-level machine translation,three different models to capture lexical cohesion
illustrating various fluid systems,developing a lightweight sketching system
one content classification and its performance evaluation,optimized binary decision tree and viterbi algorithm
Real time processing of streaming and static information,novel indexing structures
Learnings and innovations in speech recognition,explaining
explosive information leads users to make poor decisions,User Occupation Aware Conditional Restricted Boltzmann Machine Based Recommendation
Performance Engineering for Microservices,survey
Real-Time Biologically Inspired Action Recognition from Key Poses,deep neural network
low illumination conditions degrading the image quality,Logarithmic profile mapping and Retinex edge preserving for restoration
aligning multiple partially overlapping networks,alternating optimization procedure with a Lagrangian relaxation
"Physical Layer Security, Caching, and Wireless Energy Harvesting for Heterogeneous Ultra-dense Networks",survey
Understanding actions in videos with text,a joint model that links videos and text
simulating attitude formation and change,a multi-agent model
Low-complexity Approaches for MIMO Capacity,Per-antenna Power Constraint
Inventory-Aware Pathfinding,Pruning and preprocessing methods
Extraction of proper names from myanmar text,dirichlet allocation
Inverting Aboveground Biomass-Canopy Texture Relationships,High Resolution Cartosat Imagery
challenge of safe cooperation and collaboration when self-driving,A merging protocol
Robust system portfolio selection,multi-function requirements and system instability
exploring the impact of high-photovoltaic (PV) penetration,A series of dynamic models
comparing the effectiveness of different tracking devices underwater,comparision
Cycles embedding in folded hypercubes under the conditional fault model,proving
considerable invested resources in the ERP systems,building on the findings of others
high-resolution and large-scale bio-imaging,logarithmic cyclic time-attenuation-based TDC
Joint Resource Block Reuse and Power Control,Simulation
event-triggered HH filtering for delayed neural networks,"Lyapunov-Krasovskii functional, utilizing the reciprocally convex combination technique"
double integrator with matched Lipschitz disturbances,Continuous Twisting Algorithm
Healthcare Fraud Detection,approach based on the trustworthiness of doctors
